Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J2,Screw_Terminal_01x08,"TerminalBlock_Phoenix_MPT-0,5-8-2.54_1x08_P2.54mm_Horizontal",14.808000,3.988000,0.000000,top
J3,Screw_Terminal_01x08,"TerminalBlock_Phoenix_MPT-0,5-8-2.54_1x08_P2.54mm_Horizontal",38.176000,3.988000,0.000000,top
J4,Screw_Terminal_01x08,"TerminalBlock_Phoenix_MPT-0,5-8-2.54_1x08_P2.54mm_Horizontal",4.140000,32.944000,-90.000000,top
J5,Conn_02x02_Odd_Even,PinHeader_2x02_P2.54mm_Vertical_SMD,30.048000,30.404000,90.000000,top
J8,Conn_02x04_Odd_Even,PinHeader_2x04_P2.54mm_Vertical_SMD,34.696000,43.028000,90.000000,top
