Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J2,Screw_Terminal_01x08,"TerminalBlock_Phoenix_MPT-0,5-8-2.54_1x08_P2.54mm_Horizontal",114.808000,-96.012000,0.000000,top
J3,Screw_Terminal_01x08,"TerminalBlock_Phoenix_MPT-0,5-8-2.54_1x08_P2.54mm_Horizontal",138.176000,-96.012000,0.000000,top
J4,Screw_Terminal_01x08,"TerminalBlock_Phoenix_MPT-0,5-8-2.54_1x08_P2.54mm_Horizontal",104.140000,-67.056000,-90.000000,top
J5,Conn_01x04_Male,PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left,134.620000,-64.516000,90.000000,top
J6,Conn_01x08_Male,PinHeader_1x08_P2.54mm_Vertical_SMD_Pin1Left,139.700000,-56.388000,90.000000,top
